,open,high,low,close,volume,day,time
13771,303.06,303.09,302.63,302.81,1799390,2019-10-30,15:00:00
13772,302.8,302.9,302.53,302.79,1660427,2019-10-30,15:30:00
13773,302.78,303.12,302.75,303.07,1562147,2019-10-30,16:00:00
13774,303.53,303.6,303.1,303.45,19670,2019-10-31,09:30:00
13775,303.31,303.51,303.3,303.41,26557,2019-10-31,10:00:00
13776,303.41,303.7,303.35,303.56,31130,2019-10-31,10:30:00
13777,303.66,303.75,303.48,303.57,82835,2019-10-31,11:00:00
13778,303.5,303.68,303.25,303.51,99270,2019-10-31,11:30:00
13779,303.47,304.51,303.3,303.74,223566,2019-10-31,12:00:00
13780,303.77,304.1,303.7,303.94,216942,2019-10-31,12:30:00
13781,303.93,304.29,303.83,304.08,313412,2019-10-31,13:00:00
13782,304.11,304.13,303.26,303.28,5846275,2019-10-31,13:30:00
13783,303.27,303.2861,302.275,302.46,5929211,2019-10-31,14:00:00
13784,302.4597,302.81,301.73,302.8,5534330,2019-10-31,14:30:00
13785,302.81,303.02,302.47,302.62,3332355,2019-10-31,15:00:00
13786,302.62,302.94,302.35,302.675,3209103,2019-10-31,15:30:00
13787,302.68,302.783,302.11,302.4,3100400,2019-10-31,16:00:00
13788,303.9,303.95,303.85,303.85,3810,2019-11-01,09:30:00
13789,303.92,303.96,303.87,303.92,4957,2019-11-01,10:00:00
13790,303.93,304.03,303.93,303.97,39262,2019-11-01,10:30:00
13791,303.97,303.97,303.67,303.69,19087,2019-11-01,11:00:00
13792,303.7,304.01,303.54,303.61,44107,2019-11-01,11:30:00
13793,303.8801,304.13,303.33,303.69,107252,2019-11-01,12:00:00
13794,303.68,304.68,303.68,304.58,931105,2019-11-01,12:30:00
13795,304.62,304.98,304.5,304.9,397381,2019-11-01,13:00:00
13796,304.91,305.39,304.74,305.23,5577400,2019-11-01,13:30:00
13797,305.22,305.89,304.79,305.5851,6984001,2019-11-01,14:00:00
13798,305.585,305.7,305.41,305.63,3037304,2019-11-01,14:30:00
13799,305.63,305.68,305.35,305.445,5948305,2019-11-01,15:00:00
13800,305.445,305.62,305.4,305.53,3072761,2019-11-01,15:30:00
13801,305.53,305.545,305.02,305.36,3287289,2019-11-01,16:00:00
13802,307.24,307.31,307.24,307.31,45660,2019-11-04,09:30:00
13803,307.36,307.68,307.36,307.68,5969,2019-11-04,10:00:00
13804,307.61,307.61,307.49,307.53,15575,2019-11-04,10:30:00
13805,307.53,307.62,307.42,307.5,14600,2019-11-04,11:00:00
13806,307.48,307.59,307.45,307.49,30464,2019-11-04,11:30:00
13807,307.45,307.5,307.41,307.42,44757,2019-11-04,12:00:00
13808,307.48,307.49,307.32,307.4,22116,2019-11-04,12:30:00
13809,307.39,307.63,306.66,307.61,127308,2019-11-04,13:00:00
13810,307.63,308.05,307.63,307.89,301263,2019-11-04,13:30:00
13811,307.86,307.89,307.7,307.86,268148,2019-11-04,14:00:00
13812,307.85,308.0,307.535,307.63,5239216,2019-11-04,14:30:00
13813,307.625,307.85,307.32,307.8375,13325242,2019-11-04,15:00:00
13814,307.84,307.87,307.35,307.53,2079795,2019-11-04,15:30:00
13815,307.53,307.81,307.44,307.57,2217146,2019-11-04,16:00:00
13816,308.03,308.1,307.93,307.93,52708,2019-11-05,09:30:00
13817,308.04,308.18,308.04,308.13,8110,2019-11-05,10:00:00
13818,308.09,308.21,308.09,308.12,10525,2019-11-05,10:30:00
13819,308.13,308.13,307.86,307.94,10071,2019-11-05,11:00:00
